UniqueCount	AmbigCount
0	4
0	0
0	176
0	0
0	4
0	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	2
0	6
0	3
0	3
0	3
0	3
0	0
0	0
0	0
4	3
0	0
0	1
0	1
0	0
4	11
0	1
0	0
0	0
0	11
0	75
0	75
0	79
0	44
0	15
27	6
0	0
0	13
0	0
0	0
0	0
0	0
0	76
0	0
0	2
0	3
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	2
1	3
0	3
1	92
0	0
0	0
0	3
0	2
0	0
0	6
0	3
0	3
0	3
0	0
0	0
99	32050
18	34038
2	3990
7	0
0	2617
2	131
48	19320
1	1547
0	0
0	0
1	34
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	11
0	0
0	0
0	0
9	0
0	0
2	0
8	0
0	1
0	17
0	13
4	51
0	0
0	50
0	28
0	25
0	51
2	0
0	17
0	51
0	17
0	27
0	0
0	17
0	8
0	0
0	14
0	17
0	17
0	17
0	0
0	8
0	8
0	8
0	13
0	20
0	25
0	23
0	17
0	14
0	17
0	14
0	0
0	17
0	23
0	13
0	0
0	0
0	0
0	0
0	8
0	0
0	1
0	1
0	2
0	1
0	0
0	0
0	0
0	0
30	73
29	67
8	14
0	13
0	1
0	855
0	855
0	0
0	852
0	0
0	0
0	0
0	0
0	0
0	852
0	447
0	0
0	0
0	0
0	0
2	214
2	206
43	314
0	0
0	10
6	82
148	0
0	0
0	0
0	0
132	13
0	0
0	0
0	0
0	13
0	2
0	2
0	2
0	0
65	0
1	132
0	132
0	116
0	106
0	97
0	16
4	97
0	3
1	0
0	800
21	800
0	800
0	800
0	0
0	0
0	0
0	0
4	3
0	675
0	800
0	114
0	119
0	66
0	114
0	119
0	119
0	116
0	113
1	3
0	111
0	0
1	0
0	0
0	60
0	60
0	60
0	60
0	57
0	57
0	57
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	708
0	708
0	686
2	673
4	533
0	226
0	0
415	0
0	0
0	0
0	0
0	0
0	0
4	1
0	677
0	677
0	677
0	55
0	50
0	45
0	45
0	6
0	45
0	45
0	45
0	35
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	53
0	0
0	53
0	53
0	0
0	53
0	0
0	0
0	40
0	40
0	29
0	3
0	0
0	0
0	0
0	0
0	1
0	1
54	1
0	1
0	0
0	0
1	62
0	0
0	0
0	0
0	0
0	62
0	30
0	142
0	142
0	142
0	142
0	138
0	136
0	136
0	136
1	140
0	125
0	126
0	126
0	126
0	81
0	2
0	2
0	1
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	38
0	38
0	29
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
108	0
0	0
0	0
2	312
0	312
0	0
0	0
0	0
0	0
0	0
0	0
0	687
0	687
0	686
0	681
0	681
0	1
0	1
0	1
0	0
0	0
14	777
0	777
0	745
0	731
0	0
0	0
0	0
