UniqueCount	AmbigCount
0	2
0	0
0	59
0	0
0	2
0	3
0	0
0	2
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	1
0	1
0	0
0	2
0	1
0	0
0	0
1	2
0	0
0	3
0	2
0	0
3	17
0	1
0	0
0	0
0	5
0	33
0	33
0	34
0	19
0	5
2	4
0	0
0	5
0	0
0	0
0	0
0	0
0	53
0	0
0	0
0	4
0	0
0	1
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	6
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	3
0	3
2	67
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
52	15894
20	24118
0	2278
18	1
1	1973
0	82
33	10653
0	1003
0	0
0	0
1	31
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	1
0	0
0	0
0	1
0	1
0	0
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
9	6
0	6
0	2
12	0
0	0
0	14
0	13
1	33
1	3
0	33
1	20
0	19
0	33
0	1
0	15
0	33
0	15
0	19
1	0
0	14
0	5
0	0
0	13
0	14
0	14
0	14
0	1
0	5
0	5
0	5
0	13
0	17
0	18
0	17
0	14
0	13
0	14
0	13
0	1
0	14
0	17
0	13
0	1
0	0
0	2
0	1
0	5
0	0
0	0
0	0
1	2
0	1
0	0
0	0
0	0
0	0
21	62
11	46
2	18
0	17
0	1
0	297
0	297
0	0
0	297
0	0
0	0
0	0
0	0
0	0
0	297
0	160
0	0
0	0
0	0
0	0
1	120
0	116
29	199
0	0
0	5
1	58
79	0
0	0
0	0
0	0
111	19
0	3
0	3
0	0
0	16
0	1
0	1
0	1
0	0
17	0
3	58
0	58
0	53
0	50
0	47
0	11
0	47
0	0
0	0
0	433
8	433
0	433
0	433
0	0
0	0
0	0
0	0
0	4
0	366
0	433
0	63
0	66
0	45
0	63
0	66
